symbol,sector,mrs_raw,deliv_raw,vam_raw,fq_raw,rev_raw,ret_3m,ret_6m,mrs_rank,deliv_rank,vam_rank,fq_rank,rev_rank,composite
TCS,IT,-6.5855,1.0,-0.7938,1.2157,0.6906,-24.02,-21.45,0.0784313725490196,0.5098039215686274,0.0196078431372549,0.5581395348837209,0.11764705882352941,25.476516187870494
INFY,IT,-5.9969,1.0,-0.5228,2.0225,1.5,-22.6,-17.01,0.13725490196078433,0.5098039215686274,0.0784313725490196,0.9767441860465116,0.7941176470588235,46.642726858185135
WIPRO,IT,-6.0112,1.0,-0.6756,1.9661,0.6573,-24.29,-21.9,0.11764705882352941,0.5098039215686274,0.058823529411764705,0.9534883720930233,0.0784313725490196,34.559963520291845
HCLTECH,IT,-8.4358,1.0,-0.1314,,1.1209,-19.44,-8.54,0.0392156862745098,0.5098039215686274,0.1568627450980392,,0.43137254901960786,
TECHM,IT,-5.5335,1.0,0.1737,,1.437,-14.98,-10.79,0.17647058823529413,0.5098039215686274,0.21568627450980393,,0.7647058823529411,
LTIM,IT,-9.0716,1.0,0.3027,1.8727,0.9991,-32.9,-20.79,0.0196078431372549,0.5098039215686274,0.29411764705882354,0.9302325581395349,0.2549019607843137,38.99680802553579
HDFCBANK,Banking,-3.6613,1.0,0.666,,0.9,-14.98,-12.58,0.29411764705882354,0.5098039215686274,0.49019607843137253,,0.18627450980392157,
ICICIBANK,Banking,1.2321,1.0,0.6969,,0.9512,-5.66,-9.21,0.5686274509803921,0.5098039215686274,0.5098039215686274,,0.23529411764705882,
SBIN,Banking,5.3414,1.0,2.5258,,1.6667,10.77,29.09,0.803921568627451,0.5098039215686274,1.0,,0.9019607843137255,
KOTAKBANK,Banking,-1.9399,1.0,0.4637,,1.0089,-14.27,-5.06,0.39215686274509803,0.5098039215686274,0.35294117647058826,,0.3137254901960784,
AXISBANK,Banking,1.5553,1.0,1.2095,,1.2,0.7,11.2,0.6078431372549019,0.5098039215686274,0.8431372549019608,,0.5686274509803921,
INDUSINDBK,Banking,0.7017,1.0,1.3863,0.9629,1.7209,-2.86,10.94,0.5294117647058824,0.5098039215686274,0.8627450980392157,0.27906976744186046,0.9215686274509803,60.09119927040584
MARUTI,Auto,-5.0047,1.0,1.1391,0.859,0.4326,-20.68,-15.02,0.21568627450980393,0.5098039215686274,0.7843137254901961,0.06976744186046512,0.0392156862745098,33.25809393524852
M&M,Auto,-2.4544,1.0,1.1666,0.9135,0.8649,-13.59,-11.37,0.3333333333333333,0.5098039215686274,0.803921568627451,0.16279069767441862,0.13725490196078433,39.922480620155035
BAJAJ-AUTO,Auto,2.5364,1.0,1.4435,0.8788,1.1329,1.13,0.94,0.6470588235294118,0.5098039215686274,0.8823529411764706,0.11627906976744186,0.45098039215686275,53.109895120839035
HEROMOTOCO,Auto,1.5091,1.0,2.06,0.9405,1.0909,-8.19,3.23,0.5882352941176471,0.5098039215686274,0.9411764705882353,0.20930232558139536,0.39215686274509803,53.79388964888281
SUNPHARMA,Pharma,12.3696,1.0,0.2171,0.8465,1.3444,1.39,12.74,0.8823529411764706,0.5098039215686274,0.23529411764705882,0.023255813953488372,0.7254901960784313,48.30825353397172
DRREDDY,Pharma,9.9908,1.0,0.7272,2.026,1.6364,0.54,-1.31,0.8431372549019608,0.5098039215686274,0.5294117647058824,1.0,0.8725490196078431,74.95098039215686
CIPLA,Pharma,-1.6277,1.0,-0.2961,0.9806,0.3594,-14.52,-17.21,0.43137254901960786,0.5098039215686274,0.11764705882352941,0.37209302325581395,0.0196078431372549,31.069311445508436
DIVISLAB,Pharma,1.8727,1.0,0.502,0.9731,1.2857,-3.93,0.49,0.6274509803921569,0.5098039215686274,0.4215686274509804,0.3488372093023256,0.6862745098039216,51.58458732330141
BIOCON,Pharma,3.2059,1.0,0.6439,0.9724,1.2387,-1.91,5.39,0.7254901960784313,0.5098039215686274,0.45098039215686275,0.32558139534883723,0.6078431372549019,52.982216142270865
RELIANCE,Energy,2.8593,1.0,0.7789,,1.0895,-9.38,-0.12,0.6862745098039216,0.5098039215686274,0.6078431372549019,,0.37254901960784315,
ONGC,Energy,14.9857,1.0,0.8633,0.9428,1.6364,16.7,19.53,0.9411764705882353,0.5098039215686274,0.6666666666666666,0.23255813953488372,0.8725490196078431,64.79822161422707
NTPC,Energy,19.3954,1.0,0.7461,0.9429,2.5385,20.33,17.65,0.9803921568627451,0.5098039215686274,0.5882352941176471,0.2558139534883721,1.0,66.58686730506156
POWERGRID,Energy,16.735,1.0,0.7406,0.8477,2.1,15.94,7.22,0.9607843137254902,0.5098039215686274,0.5686274509803921,0.046511627906976744,0.9803921568627451,61.22435020519836
ADANIGREEN,Energy,-3.731,1.0,0.4182,0.9716,1.2,-15.52,-11.96,0.27450980392156865,0.5098039215686274,0.3333333333333333,0.3023255813953488,0.5686274509803921,38.30141358869128
HINDUNILVR,FMCG,-1.3972,1.0,0.3111,0.8624,0.6445,-5.39,-15.72,0.45098039215686275,0.5098039215686274,0.3137254901960784,0.09302325581395349,0.058823529411764705,30.48791609667123
ITC,FMCG,-6.567,1.0,-0.7284,0.9317,1.2,-22.52,-24.58,0.09803921568627451,0.5098039215686274,0.0392156862745098,0.18604651162790697,0.5686274509803921,25.68171454628363
NESTLEIND,FMCG,2.7026,1.0,0.9039,0.8877,1.25,-2.19,0.08,0.6666666666666666,0.5098039215686274,0.6862745098039216,0.13953488372093023,0.6274509803921569,52.79069767441861
BRITANNIA,FMCG,5.8755,1.0,1.59,1.2177,1.1912,-3.44,-5.71,0.8235294117647058,0.5098039215686274,0.9019607843137255,0.5813953488372093,0.5294117647058824,68.39261285909713
DABUR,FMCG,-1.7421,1.0,0.2251,1.4985,1.0,-8.97,-15.88,0.4117647058823529,0.5098039215686274,0.2549019607843137,0.813953488372093,0.28431372549019607,46.13201094391245
TATASTEEL,Metals,13.4466,1.0,1.2002,1.4149,1.4155,15.07,15.48,0.9019607843137255,0.5098039215686274,0.8235294117647058,0.7906976744186046,0.7450980392156863,76.20611035111719
HINDALCO,Metals,13.6202,1.0,1.0654,1.2134,1.1204,11.89,24.28,0.9215686274509803,0.5098039215686274,0.7647058823529411,0.5348837209302325,0.4117647058823529,65.40355677154582
JSWSTEEL,Metals,3.3513,1.0,0.7988,1.6731,1.0714,7.81,6.02,0.7450980392156863,0.5098039215686274,0.6470588235294118,0.8837209302325582,0.35294117647058826,64.73324213406293
VEDL,Metals,11.0637,1.0,1.747,1.0673,1.5399,22.8,53.91,0.8627450980392157,0.5098039215686274,0.9215686274509803,0.3953488372093023,0.8431372549019608,70.750113999088
COALINDIA,Metals,22.1403,1.0,0.7321,1.5121,2.0,22.74,21.86,1.0,0.5098039215686274,0.5490196078431373,0.8372093023255814,0.9607843137254902,77.33242134062928
BAJFINANCE,Finance,-2.4774,1.0,0.6523,1.1037,1.0,-13.0,-13.99,0.3137254901960784,0.5098039215686274,0.47058823529411764,0.4186046511627907,0.28431372549019607,40.08777929776562
BAJAJFINSV,Finance,-2.3602,1.0,0.502,1.1891,1.0138,-12.8,-14.68,0.35294117647058826,0.5098039215686274,0.4215686274509804,0.4883720930232558,0.3333333333333333,42.21842225262198
SBILIFE,Finance,4.1085,1.0,2.3274,1.1987,1.2502,-4.97,6.18,0.7647058823529411,0.5098039215686274,0.9803921568627451,0.5116279069767442,0.6470588235294118,68.86000911992703
HDFCLIFE,Finance,-5.6417,1.0,0.4956,1.3181,1.2917,-15.97,-17.36,0.1568627450980392,0.5098039215686274,0.39215686274509803,0.7209302325581395,0.7058823529411765,46.96762425900593
ICICIPRULI,Finance,0.1603,1.0,0.7818,1.3476,0.6814,-7.13,-2.11,0.5098039215686274,0.5098039215686274,0.6274509803921569,0.7674418604651163,0.09803921568627451,52.30962152302781
ULTRACEMCO,Cement,-0.5832,1.0,0.9374,1.7803,1.152,-3.57,-10.61,0.47058823529411764,0.5098039215686274,0.7058823529411765,0.9069767441860465,0.49019607843137253,61.57090743274054
GRASIM,Cement,3.1442,1.0,0.9569,1.1823,1.5147,-4.14,-4.25,0.7058823529411765,0.5098039215686274,0.7254901960784313,0.46511627906976744,0.8235294117647058,64.00820793433653
ADANIENT,Infra,-3.9372,1.0,-0.0714,1.2573,1.5,-12.12,-17.12,0.2549019607843137,0.5098039215686274,0.19607843137254902,0.6046511627906976,0.7941176470588235,44.49498404012768
LT,Infra,-2.1625,1.0,1.023,1.3255,0.9231,-12.82,-1.21,0.37254901960784315,0.5098039215686274,0.7450980392156863,0.7441860465116279,0.21568627450980393,52.53077975376197
GODREJPROP,Realty,-5.0603,1.0,-0.2482,1.1635,0.9,-21.71,-22.21,0.19607843137254902,0.5098039215686274,0.13725490196078433,0.4418604651162791,0.18627450980392157,29.474464204286367
TITAN,Consumer,4.8718,1.0,2.0851,1.311,1.9489,4.1,15.74,0.7843137254901961,0.5098039215686274,0.9607843137254902,0.6976744186046512,0.9411764705882353,77.0907432740538
ASIANPAINT,Consumer,-6.8028,1.0,0.2276,1.2997,1.1436,-19.8,-10.43,0.058823529411764705,0.5098039215686274,0.27450980392156865,0.6511627906976745,0.47058823529411764,37.23894208846329
PIDILITIND,Consumer,-0.1174,1.0,0.4914,1.3012,1.2852,-7.88,-11.71,0.49019607843137253,0.5098039215686274,0.37254901960784315,0.6744186046511628,0.6666666666666666,53.390332877336974
HAVELLS,Consumer,1.0419,1.0,-0.1078,1.298,0.8906,-6.44,-17.18,0.5490196078431373,0.5098039215686274,0.17647058823529413,0.627906976744186,0.1568627450980392,42.362061103511174
TRENT,Consumer,-4.8362,1.0,-0.4186,1.5768,1.1575,-11.54,-29.19,0.23529411764705882,0.5098039215686274,0.09803921568627451,0.8604651162790697,0.5098039215686274,42.89557683538531
